Language Task Size Select_size Model Metric Value
btz surSeg 500 0 transformer precision 0.16244999999999998
btz surSeg 500 0 transformer recall 0.14726666666666666
btz surSeg 500 0 transformer f1 0.1511
btz surSeg 500 25 transformer precision 0.16941666666666666
btz surSeg 500 25 transformer recall 0.15480000000000002
btz surSeg 500 25 transformer f1 0.15853333333333333
btz surSeg 500 50 transformer precision 0.16108333333333333
btz surSeg 500 50 transformer recall 0.14936666666666668
btz surSeg 500 50 transformer f1 0.15191666666666667
btz surSeg 500 75 transformer precision 0.1683
btz surSeg 500 75 transformer recall 0.15258333333333335
btz surSeg 500 75 transformer f1 0.15678333333333333
btz surSeg 500 100 transformer precision 0.16233333333333333
btz surSeg 500 100 transformer recall 0.15826666666666667
btz surSeg 500 100 transformer f1 0.15596666666666667
btz surSeg 500 125 transformer precision 0.17625
btz surSeg 500 125 transformer recall 0.16605
btz surSeg 500 125 transformer f1 0.16743333333333335
btz surSeg 500 150 transformer precision 0.19983333333333334
btz surSeg 500 150 transformer recall 0.18416666666666667
btz surSeg 500 150 transformer f1 0.18778333333333333
btz surSeg 500 175 transformer precision 0.18518333333333334
btz surSeg 500 175 transformer recall 0.17086666666666667
btz surSeg 500 175 transformer f1 0.17398333333333332
btz surSeg 500 200 transformer precision 0.1815
btz surSeg 500 200 transformer recall 0.16941666666666666
btz surSeg 500 200 transformer f1 0.1724
btz surSeg 500 225 transformer precision 0.19488333333333333
btz surSeg 500 225 transformer recall 0.17731666666666668
btz surSeg 500 225 transformer f1 0.18213333333333334
btz surSeg 500 250 transformer precision 0.19928333333333334
btz surSeg 500 250 transformer recall 0.18535000000000001
btz surSeg 500 250 transformer f1 0.1877
btz surSeg 500 275 transformer precision 0.19985
btz surSeg 500 275 transformer recall 0.18601666666666666
btz surSeg 500 275 transformer f1 0.18941666666666668
btz surSeg 500 300 transformer precision 0.21261666666666665
btz surSeg 500 300 transformer recall 0.19818333333333335
btz surSeg 500 300 transformer f1 0.20141666666666666
btz surSeg 500 325 transformer precision 0.21278333333333332
btz surSeg 500 325 transformer recall 0.19388333333333332
btz surSeg 500 325 transformer f1 0.19953333333333334
btz surSeg 500 350 transformer precision 0.23298333333333332
btz surSeg 500 350 transformer recall 0.21251666666666666
btz surSeg 500 350 transformer f1 0.21885
btz surSeg 500 375 transformer precision 0.2334
btz surSeg 500 375 transformer recall 0.21541666666666667
btz surSeg 500 375 transformer f1 0.22013333333333332
btz surSeg 500 400 transformer precision 0.23868333333333333
btz surSeg 500 400 transformer recall 0.22181666666666666
btz surSeg 500 400 transformer f1 0.22596666666666668
btz surSeg 500 425 transformer precision 0.23915
btz surSeg 500 425 transformer recall 0.22408333333333333
btz surSeg 500 425 transformer f1 0.22740000000000002
btz surSeg 500 450 transformer precision 0.23466666666666666
btz surSeg 500 450 transformer recall 0.22111666666666666
btz surSeg 500 450 transformer f1 0.22396666666666668
btz surSeg 500 475 transformer precision 0.23876666666666665
btz surSeg 500 475 transformer recall 0.21598333333333333
btz surSeg 500 475 transformer f1 0.22245
btz surSeg 500 500 transformer precision 0.24765
btz surSeg 500 500 transformer recall 0.2385
btz surSeg 500 500 transformer f1 0.2392
btz surSeg 500 525 transformer precision 0.2528666666666667
btz surSeg 500 525 transformer recall 0.23858333333333334
btz surSeg 500 525 transformer f1 0.2424
btz surSeg 500 550 transformer precision 0.2582
btz surSeg 500 550 transformer recall 0.23726666666666668
btz surSeg 500 550 transformer f1 0.2437
btz surSeg 500 575 transformer precision 0.24428333333333332
btz surSeg 500 575 transformer recall 0.23278333333333334
btz surSeg 500 575 transformer f1 0.23495
btz surSeg 500 600 transformer precision 0.24968333333333334
btz surSeg 500 600 transformer recall 0.24098333333333333
btz surSeg 500 600 transformer f1 0.24168333333333333
btz surSeg 500 625 transformer precision 0.25305
btz surSeg 500 625 transformer recall 0.24123333333333333
btz surSeg 500 625 transformer f1 0.24365
btz surSeg 500 650 transformer precision 0.2563
btz surSeg 500 650 transformer recall 0.24016666666666667
btz surSeg 500 650 transformer f1 0.24448333333333333
btz surSeg 500 675 transformer precision 0.25965
btz surSeg 500 675 transformer recall 0.24656666666666666
btz surSeg 500 675 transformer f1 0.24986666666666668
btz surSeg 500 700 transformer precision 0.25566666666666665
btz surSeg 500 700 transformer recall 0.2446
btz surSeg 500 700 transformer f1 0.24675
btz surSeg 500 725 transformer precision 0.2627833333333333
btz surSeg 500 725 transformer recall 0.2442
btz surSeg 500 725 transformer f1 0.24956666666666666
btz surSeg 500 750 transformer precision 0.25511666666666666
btz surSeg 500 750 transformer recall 0.24541666666666667
btz surSeg 500 750 transformer f1 0.24695
btz surSeg 500 775 transformer precision 0.26203333333333334
btz surSeg 500 775 transformer recall 0.25228333333333336
btz surSeg 500 775 transformer f1 0.2531
btz surSeg 500 800 transformer precision 0.28251666666666664
btz surSeg 500 800 transformer recall 0.2685166666666667
btz surSeg 500 800 transformer f1 0.27175
btz surSeg 500 825 transformer precision 0.26921666666666666
btz surSeg 500 825 transformer recall 0.25393333333333334
btz surSeg 500 825 transformer f1 0.25806666666666667
btz surSeg 500 850 transformer precision 0.27265
btz surSeg 500 850 transformer recall 0.26048333333333334
btz surSeg 500 850 transformer f1 0.26383333333333336
btz surSeg 500 875 transformer precision 0.28535
btz surSeg 500 875 transformer recall 0.27881666666666666
btz surSeg 500 875 transformer f1 0.27858333333333335
btz surSeg 500 900 transformer precision 0.28126666666666666
btz surSeg 500 900 transformer recall 0.2669666666666667
btz surSeg 500 900 transformer f1 0.27126666666666666
btz surSeg 1000 0 transformer precision 0.23011666666666666
btz surSeg 1000 0 transformer recall 0.20845
btz surSeg 1000 0 transformer f1 0.21438333333333334
btz surSeg 1000 25 transformer precision 0.2314
btz surSeg 1000 25 transformer recall 0.21126666666666669
btz surSeg 1000 25 transformer f1 0.21745
btz surSeg 1000 50 transformer precision 0.22891666666666666
btz surSeg 1000 50 transformer recall 0.2094
btz surSeg 1000 50 transformer f1 0.21531666666666666
btz surSeg 1000 75 transformer precision 0.21416666666666667
btz surSeg 1000 75 transformer recall 0.1994166666666667
btz surSeg 1000 75 transformer f1 0.2031
btz surSeg 1000 100 transformer precision 0.22361666666666669
btz surSeg 1000 100 transformer recall 0.2004166666666667
btz surSeg 1000 100 transformer f1 0.2084
btz surSeg 1000 125 transformer precision 0.23233333333333334
btz surSeg 1000 125 transformer recall 0.21546666666666667
btz surSeg 1000 125 transformer f1 0.2201
btz surSeg 1000 150 transformer precision 0.2379
btz surSeg 1000 150 transformer recall 0.21826666666666666
btz surSeg 1000 150 transformer f1 0.22406666666666666
btz surSeg 1000 175 transformer precision 0.22403333333333333
btz surSeg 1000 175 transformer recall 0.20428333333333334
btz surSeg 1000 175 transformer f1 0.21063333333333334
btz surSeg 1000 200 transformer precision 0.23893333333333333
btz surSeg 1000 200 transformer recall 0.21815
btz surSeg 1000 200 transformer f1 0.22473333333333334
btz surSeg 1000 225 transformer precision 0.22235
btz surSeg 1000 225 transformer recall 0.19896666666666665
btz surSeg 1000 225 transformer f1 0.20668333333333333
btz surSeg 1000 250 transformer precision 0.21341666666666667
btz surSeg 1000 250 transformer recall 0.1926
btz surSeg 1000 250 transformer f1 0.19893333333333332
btz surSeg 1000 275 transformer precision 0.2429
btz surSeg 1000 275 transformer recall 0.2271
btz surSeg 1000 275 transformer f1 0.23065
btz surSeg 1000 300 transformer precision 0.23998333333333333
btz surSeg 1000 300 transformer recall 0.2183166666666667
btz surSeg 1000 300 transformer f1 0.22445
btz surSeg 1000 325 transformer precision 0.24465
btz surSeg 1000 325 transformer recall 0.23040000000000002
btz surSeg 1000 325 transformer f1 0.23255
btz surSeg 1000 350 transformer precision 0.25488333333333335
btz surSeg 1000 350 transformer recall 0.24265
btz surSeg 1000 350 transformer f1 0.24428333333333332
btz surSeg 1000 375 transformer precision 0.26005
btz surSeg 1000 375 transformer recall 0.2374
btz surSeg 1000 375 transformer f1 0.24446666666666667
btz surSeg 1000 400 transformer precision 0.2508166666666667
btz surSeg 1000 400 transformer recall 0.23165
btz surSeg 1000 400 transformer f1 0.2376
btz surSeg 1000 425 transformer precision 0.2644166666666667
btz surSeg 1000 425 transformer recall 0.247
btz surSeg 1000 425 transformer f1 0.252
btz surSeg 1000 450 transformer precision 0.2576333333333333
btz surSeg 1000 450 transformer recall 0.24128333333333335
btz surSeg 1000 450 transformer f1 0.24561666666666668
btz surSeg 1000 475 transformer precision 0.26380000000000003
btz surSeg 1000 475 transformer recall 0.2549
btz surSeg 1000 475 transformer f1 0.25633333333333336
btz surSeg 1000 500 transformer precision 0.2712
btz surSeg 1000 500 transformer recall 0.2558166666666667
btz surSeg 1000 500 transformer f1 0.25925
btz surSeg 1000 525 transformer precision 0.2717833333333333
btz surSeg 1000 525 transformer recall 0.25703333333333334
btz surSeg 1000 525 transformer f1 0.26015
btz surSeg 1000 550 transformer precision 0.26280000000000003
btz surSeg 1000 550 transformer recall 0.24345
