Language Task Size Select_size Model Metric Value
btz surSeg 50 0 transformer precision 0.0543
btz surSeg 50 0 transformer recall 0.045116666666666666
btz surSeg 50 0 transformer f1 0.04688333333333334
btz surSeg 50 25 transformer precision 0.04271666666666667
btz surSeg 50 25 transformer recall 0.03615
btz surSeg 50 25 transformer f1 0.03783333333333334
btz surSeg 50 50 transformer precision 0.07158333333333333
btz surSeg 50 50 transformer recall 0.06866666666666667
btz surSeg 50 50 transformer f1 0.0684
btz surSeg 50 75 transformer precision 0.059033333333333333
btz surSeg 50 75 transformer recall 0.04705
btz surSeg 50 75 transformer f1 0.04978333333333333
btz surSeg 50 100 transformer precision 0.08066666666666666
btz surSeg 50 100 transformer recall 0.07078333333333334
btz surSeg 50 100 transformer f1 0.0731
btz surSeg 50 125 transformer precision 0.06745000000000001
btz surSeg 50 125 transformer recall 0.06146666666666667
btz surSeg 50 125 transformer f1 0.06291666666666668
btz surSeg 50 150 transformer precision 0.06933333333333334
btz surSeg 50 150 transformer recall 0.06191666666666667
btz surSeg 50 150 transformer f1 0.06351666666666667
btz surSeg 50 175 transformer precision 0.07136666666666668
btz surSeg 50 175 transformer recall 0.07196666666666666
btz surSeg 50 175 transformer f1 0.06945
btz surSeg 50 200 transformer precision 0.07625
btz surSeg 50 200 transformer recall 0.0631
btz surSeg 50 200 transformer f1 0.06635
btz surSeg 50 225 transformer precision 0.07238333333333334
btz surSeg 50 225 transformer recall 0.06651666666666667
btz surSeg 50 225 transformer f1 0.06693333333333333
btz surSeg 50 250 transformer precision 0.0649
btz surSeg 50 250 transformer recall 0.058616666666666664
btz surSeg 50 250 transformer f1 0.05965
btz surSeg 50 275 transformer precision 0.07728333333333333
btz surSeg 50 275 transformer recall 0.06966666666666667
btz surSeg 50 275 transformer f1 0.07008333333333334
btz surSeg 50 300 transformer precision 0.06986666666666667
btz surSeg 50 300 transformer recall 0.06428333333333333
btz surSeg 50 300 transformer f1 0.06538333333333333
btz surSeg 50 325 transformer precision 0.07953333333333333
btz surSeg 50 325 transformer recall 0.0723
btz surSeg 50 325 transformer f1 0.07421666666666667
btz surSeg 50 350 transformer precision 0.08213333333333334
btz surSeg 50 350 transformer recall 0.07321666666666667
btz surSeg 50 350 transformer f1 0.07515000000000001
btz surSeg 50 375 transformer precision 0.0609
btz surSeg 50 375 transformer recall 0.056466666666666665
btz surSeg 50 375 transformer f1 0.05716666666666667
btz surSeg 50 400 transformer precision 0.05701666666666667
btz surSeg 50 400 transformer recall 0.047733333333333336
btz surSeg 50 400 transformer f1 0.050666666666666665
btz surSeg 50 425 transformer precision 0.06818333333333333
btz surSeg 50 425 transformer recall 0.06455
btz surSeg 50 425 transformer f1 0.064
btz surSeg 50 450 transformer precision 0.07545
btz surSeg 50 450 transformer recall 0.06498333333333334
btz surSeg 50 450 transformer f1 0.06708333333333333
btz surSeg 50 475 transformer precision 0.059250000000000004
btz surSeg 50 475 transformer recall 0.053366666666666666
btz surSeg 50 475 transformer f1 0.054283333333333336
btz surSeg 50 500 transformer precision 0.07765
btz surSeg 50 500 transformer recall 0.06791666666666667
btz surSeg 50 500 transformer f1 0.07018333333333333
btz surSeg 50 525 transformer precision 0.06656666666666666
btz surSeg 50 525 transformer recall 0.05413333333333333
btz surSeg 50 525 transformer f1 0.05793333333333334
btz surSeg 50 550 transformer precision 0.08460000000000001
btz surSeg 50 550 transformer recall 0.07703333333333334
btz surSeg 50 550 transformer f1 0.07811666666666667
btz surSeg 50 575 transformer precision 0.0646
btz surSeg 50 575 transformer recall 0.05238333333333334
btz surSeg 50 575 transformer f1 0.05545
btz surSeg 50 600 transformer precision 0.0663
btz surSeg 50 600 transformer recall 0.058166666666666665
btz surSeg 50 600 transformer f1 0.05981666666666667
btz surSeg 50 625 transformer precision 0.08205
btz surSeg 50 625 transformer recall 0.07365000000000001
btz surSeg 50 625 transformer f1 0.07423333333333333
btz surSeg 50 650 transformer precision 0.08175
btz surSeg 50 650 transformer recall 0.0761
btz surSeg 50 650 transformer f1 0.07718333333333334
btz surSeg 50 675 transformer precision 0.046016666666666664
btz surSeg 50 675 transformer recall 0.04128333333333333
btz surSeg 50 675 transformer f1 0.042216666666666666
btz surSeg 50 700 transformer precision 0.06825
btz surSeg 50 700 transformer recall 0.05486666666666667
btz surSeg 50 700 transformer f1 0.05926666666666667
btz surSeg 50 725 transformer precision 0.082
btz surSeg 50 725 transformer recall 0.07448333333333333
btz surSeg 50 725 transformer f1 0.07536666666666667
btz surSeg 50 750 transformer precision 0.06091666666666667
btz surSeg 50 750 transformer recall 0.0555
btz surSeg 50 750 transformer f1 0.05676666666666667
btz surSeg 50 775 transformer precision 0.05751666666666667
btz surSeg 50 775 transformer recall 0.04745
btz surSeg 50 775 transformer f1 0.050333333333333334
btz surSeg 50 800 transformer precision 0.07495
btz surSeg 50 800 transformer recall 0.06493333333333334
btz surSeg 50 800 transformer f1 0.06815
btz surSeg 50 825 transformer precision 0.06625
btz surSeg 50 825 transformer recall 0.06068333333333333
btz surSeg 50 825 transformer f1 0.0609
btz surSeg 50 850 transformer precision 0.06581666666666666
btz surSeg 50 850 transformer recall 0.061200000000000004
btz surSeg 50 850 transformer f1 0.06115
btz surSeg 50 875 transformer precision 0.07868333333333333
btz surSeg 50 875 transformer recall 0.06545000000000001
btz surSeg 50 875 transformer f1 0.06851666666666667
btz surSeg 50 900 transformer precision 0.05095
btz surSeg 50 900 transformer recall 0.046783333333333336
btz surSeg 50 900 transformer f1 0.04721666666666667
btz surSeg 50 925 transformer precision 0.0618
btz surSeg 50 925 transformer recall 0.05315
btz surSeg 50 925 transformer f1 0.055433333333333334
btz surSeg 50 950 transformer precision 0.06698333333333333
btz surSeg 50 950 transformer recall 0.060700000000000004
btz surSeg 50 950 transformer f1 0.06113333333333334
btz surSeg 50 975 transformer precision 0.07361666666666666
btz surSeg 50 975 transformer recall 0.06441666666666666
btz surSeg 50 975 transformer f1 0.06681666666666666
btz surSeg 50 all transformer precision 0.2707833333333333
btz surSeg 50 all transformer recall 0.2621
btz surSeg 50 all transformer f1 0.26136666666666664
btz surSeg 100 0 transformer precision 0.08155
btz surSeg 100 0 transformer recall 0.07558333333333334
